,Lever position (lp) [ ],Ship speed (v) [knots],Gas Turbine shaft torque (GTT) [kN m],Gas Turbine rate of revolutions (GTn) [rpm],Gas Generator rate of revolutions (GGn) [rpm],Starboard Propeller Torque (Ts) [kN],Port Propeller Torque (Tp) [kN],HP Turbine exit temperature (T48) [C],GT Compressor inlet air temperature (T1) [C],GT Compressor outlet air temperature (T2) [C],HP Turbine exit pressure (P48) [bar],GT Compressor inlet air pressure (P1) [bar],GT Compressor outlet air pressure (P2) [bar],Gas Turbine exhaust gas pressure (Pexh) [bar],Turbine Injecton Control (TIC) [%],Fuel flow (mf) [kg/s],GT Compressor decay state coefficient.,GT Turbine decay state coefficient.
6113,7.148,21,39004.61,2678.021,9116.84,332.36,332.36,829.764,288,689.024,2.985,0.998,15.757,1.036,44.508,0.881,0.984,0.977
6114,6.175,18,29762.149,2306.838,8793.141,246.031,246.031,764.175,288,663.049,2.514,0.998,13.27,1.031,33.744,0.668,0.994,0.987
6115,2.088,6,4306.007,1392.139,6785.641,31.068,31.068,534.756,288,563.778,1.256,0.998,6.785,1.02,0,0.167,0.983,0.983
6116,1.138,3,4730.835,1380.282,6634.795,9.235,9.235,575.118,288,562.829,1.263,0.998,6.832,1.019,4.934,0.22,0.993,0.984
6117,4.161,12,14724.782,1547.471,7809.186,113.802,113.802,646.682,288,610.471,1.656,0.998,8.885,1.022,17.421,0.345,0.955,0.989
6118,6.175,18,29792.855,2307.375,8827.765,246.298,246.298,783.908,288,671.681,2.502,0.998,13.238,1.03,34.772,0.688,0.96,0.985
6119,6.175,18,29762.285,2306.821,8795.168,246.031,246.031,762.013,288,662.609,2.513,0.998,13.243,1.031,33.601,0.665,0.994,0.989
6120,4.161,12,14719.259,1547.455,7741.23,113.74,113.74,623.197,288,601.239,1.662,0.998,8.849,1.023,16.417,0.325,0.992,0.997
6121,5.14,15,21632.377,1924.34,8490.717,175.298,175.298,699.873,288,636.283,2.08,0.998,11.005,1.026,24.705,0.489,0.973,0.995
6122,1.138,3,5281.662,1315.722,6695.413,5.746,5.746,623.192,288,571.521,1.261,0.998,6.83,1.019,32.217,0.288,0.952,0.99
6123,8.206,24,50996.413,3087.591,9316.462,438.098,438.098,933.946,288,736.716,3.574,0.998,18.431,1.041,60.982,1.207,0.96,0.986
6124,1.138,3,2829.516,1378.743,6618.945,9.126,9.126,520.486,288,554.245,1.198,0.998,6.482,1.019,5.892,0.156,0.997,0.982
6125,8.206,24,50994.88,3087.497,9309.498,437.982,437.982,939.285,288,736.286,3.586,0.998,18.643,1.041,61.623,1.22,0.966,0.977
6126,9.3,27,72765.546,3560.384,9742.931,644.973,644.973,1063.959,288,773.992,4.533,0.998,22.786,1.051,88.53,1.752,0.988,0.985
6127,7.148,21,39012.096,2677.978,9113.203,332.476,332.476,819.56,288,685.225,2.991,0.998,15.742,1.036,43.88,0.869,0.995,0.98
6128,5.14,15,21636.533,1924.315,8495.627,175.286,175.286,728.951,288,645.018,2.078,0.998,11.175,1.026,26.235,0.519,0.951,0.977
6129,5.14,15,21623.483,1924.321,8461.213,175.198,175.198,696.684,288,632.35,2.09,0.998,11.141,1.027,24.662,0.488,0.996,0.986
6130,1.138,3,5115.149,1315.299,6690.752,5.711,5.711,616.76,288,570.141,1.256,0.998,6.798,1.019,32.328,0.281,0.955,0.991
6131,6.175,18,29760.716,2306.833,8783.053,246.017,246.017,778.425,288,666.209,2.517,0.998,13.432,1.03,34.67,0.686,0.992,0.975
6132,3.144,9,8380.044,1386.762,7140.288,60.371,60.371,585.126,288,582.408,1.388,0.998,7.433,1.02,12.241,0.242,0.96,0.995
6133,9.3,27,72777.818,3560.425,9774.291,645.111,645.111,1076.505,288,779.489,4.495,0.998,22.361,1.05,88.932,1.76,0.968,0.996
6134,5.14,15,21629.394,1924.308,8473.622,175.241,175.241,719.681,288,640.131,2.085,0.998,11.23,1.026,25.844,0.512,0.972,0.975
6135,7.148,21,38987.015,2678.074,9128.951,332.22,332.22,841.322,288,695.267,2.968,0.998,15.632,1.035,45.041,0.892,0.962,0.98
6136,3.144,9,8377.808,1386.749,7100.407,60.345,60.345,572.286,288,577.127,1.39,0.998,7.415,1.021,11.744,0.232,0.982,0.999
6137,9.3,27,72757.073,3560.361,9726.052,644.756,644.756,1058.601,288,771.579,4.553,0.998,23.016,1.052,88.412,1.75,0.998,0.979
6138,4.161,12,14723.579,1547.469,7798.057,113.778,113.778,636.902,288,607.321,1.656,0.998,8.841,1.023,16.987,0.336,0.965,0.995
6139,1.138,3,2084.422,1325.721,6625.591,6.229,6.229,532.624,288,556.958,1.162,0.998,6.346,1.019,25.692,0.176,0.968,0.975
6140,1.138,3,2360.406,1409.311,6712.126,11.001,11.001,507.965,288,557.196,1.184,0.998,6.361,1.019,0,0.133,0.968,0.988
6141,2.088,6,2860.547,1369.386,6761.695,26.797,26.797,505.219,288,559.031,1.201,0.998,6.529,1.019,6.861,0.132,0.978,0.975
6142,2.088,6,5333.401,1346.236,6765.609,22.655,22.655,561.402,288,562.225,1.277,0.998,6.837,1.02,22.236,0.224,0.996,0.998
6143,8.206,24,50994.1,3087.515,9316.014,438.087,438.087,918.143,288,732.582,3.572,0.998,18.256,1.041,59.699,1.182,0.968,0.996
6144,4.161,12,14723.629,1547.468,7796.633,113.78,113.78,640.39,288,608.232,1.657,0.998,8.866,1.022,17.148,0.339,0.963,0.992
6145,8.206,24,50993.331,3087.471,9307.079,438.099,438.099,905.728,288,727.085,3.584,0.998,18.298,1.042,58.931,1.167,0.985,0.997
6146,2.088,6,4723.822,1344.655,6842.765,22.419,22.419,569.072,288,569.617,1.255,0.998,6.761,1.019,23.318,0.221,0.953,0.991
6147,9.3,27,72768.049,3560.417,9775.427,645.1,645.1,1099.236,288,784.981,4.498,0.998,22.644,1.049,91.073,1.803,0.958,0.983
6148,5.14,15,21637.345,1924.331,8501.889,175.319,175.319,719.012,288,642.866,2.076,0.998,11.075,1.026,25.681,0.508,0.953,0.986
6149,5.14,15,21636.167,1924.346,8502.166,175.304,175.304,703.189,288,638.395,2.076,0.998,10.968,1.026,24.834,0.492,0.963,0.997
6150,3.144,9,8381.065,1386.768,7162.057,60.375,60.375,585.459,288,583.277,1.387,0.998,7.409,1.02,12.243,0.242,0.954,0.998
6151,8.206,24,50993.88,3087.507,9316.677,438.002,438.002,914.431,288,731.802,3.57,0.998,18.199,1.042,59.376,1.175,0.969,0.999
6152,6.175,18,29793.122,2307.374,8829.027,246.302,246.302,789.346,288,673.333,2.501,0.998,13.271,1.03,35.092,0.695,0.956,0.982
6153,8.206,24,50994.194,3087.51,9312.153,438.027,438.027,919.514,288,731.938,3.578,0.998,18.352,1.041,59.922,1.186,0.972,0.992
6154,5.14,15,21627.336,1924.317,8470.506,175.269,175.269,706.147,288,635.993,2.087,0.998,11.155,1.026,25.133,0.497,0.983,0.983
6155,9.3,27,72763.501,3560.393,9769.45,644.819,644.819,1103.446,288,785.485,4.506,0.998,22.815,1.049,91.631,1.814,0.959,0.977
6156,5.14,15,21627.405,1924.327,8473.059,175.274,175.274,697.431,288,633.78,2.086,0.998,11.082,1.027,24.651,0.488,0.987,0.99
6157,4.161,12,14723.455,1547.47,7801.208,113.786,113.786,631.299,288,605.884,1.656,0.998,8.8,1.023,16.726,0.331,0.968,1
6158,8.206,24,50995.885,3087.525,9315.465,437.963,437.963,948.732,288,740.145,3.58,0.998,18.649,1.041,62.244,1.232,0.955,0.975
6159,2.088,6,3415.766,1382.664,6766.879,29.259,29.259,514.649,288,560.612,1.224,0.998,6.634,1.02,0.217,0.14,0.982,0.977
6160,7.148,21,38999.11,2678.055,9121.915,332.319,332.319,817.855,288,686.837,2.979,0.998,15.572,1.036,43.577,0.863,0.985,0.988
6161,2.088,6,3578.422,1347.402,6820.517,22.873,22.873,534.616,288,563.821,1.22,0.998,6.575,1.019,20.375,0.178,0.96,0.988
6162,7.148,21,38984.164,2678.086,9131.396,332.197,332.197,846.476,288,697.333,2.965,0.998,15.629,1.035,45.339,0.898,0.956,0.979
6163,8.206,24,50997.04,3087.599,9315.003,438.039,438.039,938.071,288,737.37,3.577,0.998,18.516,1.041,61.369,1.215,0.96,0.982
6164,4.161,12,14723.893,1547.47,7800.963,113.792,113.792,639.987,288,608.292,1.656,0.998,8.856,1.022,17.125,0.339,0.962,0.993
6165,5.14,15,21629.192,1924.334,8480.403,175.237,175.237,697.141,288,634.45,2.084,0.998,11.041,1.027,24.603,0.487,0.982,0.993
6166,7.148,21,38987.206,2678.074,9128.968,332.258,332.258,839.603,288,694.782,2.969,0.998,15.618,1.035,44.923,0.889,0.963,0.981
6167,2.088,6,6824.848,1381.77,6769.418,29.194,29.194,600.277,288,570.627,1.332,0.998,7.196,1.02,5.775,0.257,0.992,0.987
6168,7.148,21,38980.614,2678.078,9135.463,332.093,332.093,838.198,288,695.967,2.96,0.998,15.493,1.035,44.689,0.885,0.956,0.987
6169,8.206,24,50994.464,3087.531,9317.027,438.049,438.049,923.939,288,734.327,3.571,0.998,18.302,1.041,60.145,1.191,0.964,0.993
6170,2.088,6,2955.225,1371.812,6815.695,27.262,27.262,501.875,288,559.47,1.204,0.998,6.47,1.019,6.002,0.13,0.969,0.988
6171,2.088,6,6964.093,1378.012,6740.62,28.493,28.493,612.021,288,571.876,1.336,0.998,7.278,1.02,8.565,0.27,0.994,0.978
6172,1.138,3,3515.113,1417.656,6729.595,11.556,11.556,544.741,288,563.949,1.227,0.998,6.604,1.019,0,0.175,0.963,0.988
6173,8.206,24,50996.746,3087.61,9323.461,438.123,438.123,933.309,288,738.38,3.563,0.998,18.278,1.041,60.728,1.202,0.952,0.992
6174,2.088,6,5766.604,1348.637,6822.632,23.149,23.149,602.31,288,574.64,1.288,0.998,6.996,1.019,22.594,0.259,0.954,0.983
6175,1.138,3,6743.893,1384.215,6706.117,9.521,9.521,627.05,288,572.51,1.322,0.998,7.098,1.019,0,0.281,0.974,0.996
6176,4.161,12,14721.986,1547.463,7775.468,113.759,113.759,633.689,288,605.529,1.659,0.998,8.859,1.023,16.864,0.334,0.974,0.994
6177,2.088,6,2982.287,1372.224,6842.596,27.345,27.345,499.339,288,559.352,1.204,0.998,6.431,1.02,5.202,0.128,0.965,0.995
6178,7.148,21,38977.474,2678.079,9140.005,332.162,332.162,830.778,288,694.947,2.955,0.998,15.356,1.035,44.087,0.873,0.955,0.995
6179,6.175,18,29795.832,2307.279,8838.447,246.263,246.263,782.708,288,672.281,2.498,0.998,13.172,1.03,34.64,0.686,0.954,0.989
6180,5.14,15,21639.98,1924.351,8513.945,175.318,175.318,709.532,288,641.403,2.073,0.998,10.949,1.026,25.123,0.497,0.951,0.997
6181,1.138,3,5127.844,1365.513,6626.433,8.357,8.357,587.435,288,563.137,1.271,0.998,6.874,1.019,10.861,0.241,0.996,0.987
6182,9.3,27,72773.742,3560.394,9744.671,645.086,645.086,1045.135,288,769.412,4.529,0.998,22.517,1.052,86.675,1.716,0.996,0.997
6183,9.3,27,72759.061,3560.375,9747.66,644.969,644.969,1085.938,288,779.723,4.53,0.998,22.981,1.05,90.524,1.792,0.976,0.975
6184,3.144,9,8375.604,1386.737,7047.552,60.312,60.312,587.621,288,579.803,1.392,0.998,7.56,1.02,12.393,0.245,0.983,0.979
6185,2.088,6,6352.836,1354.229,6751.295,24.113,24.113,590.729,288,566.796,1.31,0.998,7.061,1.02,19.74,0.256,0.997,0.991
6186,1.138,3,3703.31,1349.818,6608.308,7.46,7.46,552.589,288,556.969,1.223,0.998,6.611,1.019,17.656,0.204,0.998,0.986
6187,9.3,27,72767.597,3560.409,9763.842,645.081,645.081,1087.762,288,781.332,4.51,0.998,22.709,1.05,90.294,1.787,0.968,0.983
6188,8.206,24,50995.473,3087.573,9318.79,438.114,438.114,932.202,288,736.884,3.57,0.998,18.362,1.041,60.77,1.203,0.958,0.989
6189,2.088,6,3052.271,1375.362,6799.094,27.907,27.907,504.36,288,559.703,1.209,0.998,6.515,1.02,3.756,0.131,0.973,0.984
6190,3.144,9,8376.461,1386.743,7062.387,60.314,60.314,593.273,288,582.019,1.391,0.998,7.57,1.02,12.611,0.25,0.974,0.977
6191,1.138,3,3232.681,1385.789,6628.543,9.54,9.54,531.059,288,556.221,1.214,0.998,6.56,1.019,5.082,0.168,0.996,0.983
6192,4.161,12,14720.401,1547.458,7753.018,113.753,113.753,629.236,288,603.393,1.661,0.998,8.868,1.023,16.684,0.33,0.984,0.994
6193,9.3,27,72763.898,3560.387,9748.394,645.063,645.063,1076.16,288,777.383,4.528,0.998,22.842,1.051,89.567,1.773,0.98,0.981
6194,3.144,9,8377.117,1386.746,7085.176,60.336,60.336,576.951,288,577.988,1.39,0.998,7.458,1.02,11.942,0.236,0.982,0.993
6195,6.175,18,29762.384,2306.835,8793.161,245.985,245.985,759.458,288,661.697,2.514,0.998,13.236,1.031,33.456,0.662,0.997,0.99
6196,3.144,9,8377.039,1386.746,7082.022,60.327,60.327,580.182,288,578.844,1.39,0.998,7.478,1.02,12.074,0.239,0.98,0.99
6197,7.148,21,38986.221,2678.086,9133.179,332.17,332.17,814.734,288,688.657,2.965,0.998,15.348,1.036,43.126,0.854,0.973,0.999
6198,1.138,3,831.067,1364.527,6658.319,8.22,8.22,448.02,288,542.388,1.119,0.998,5.944,1.019,0,0.072,0.991,0.999
6199,2.088,6,6852.601,1364.591,6759.604,26.009,26.009,602.35,288,569.291,1.327,0.998,7.162,1.02,15.205,0.267,0.995,0.99
6200,1.138,3,5701.67,1401.133,6689.719,10.558,10.558,613.279,288,572.726,1.296,0.998,7.046,1.019,0,0.255,0.968,0.98
6201,8.206,24,50991.868,3087.386,9301.124,438.085,438.085,926.489,288,730.966,3.596,0.998,18.657,1.042,60.797,1.204,0.982,0.979
6202,7.148,21,38985.325,2678.083,9133.113,332.214,332.214,821.34,288,690.551,2.964,0.998,15.402,1.035,43.583,0.863,0.969,0.995
6203,6.175,18,29796.753,2307.27,8841.83,246.297,246.297,785.938,288,673.495,2.497,0.998,13.177,1.03,34.816,0.689,0.95,0.988
6204,2.088,6,2849.678,1359.169,6785.147,24.943,24.943,509.389,288,559.766,1.198,0.998,6.49,1.019,12.728,0.142,0.97,0.98
6205,2.088,6,6631.615,1386.567,6750.952,30.082,30.082,598.591,288,570.665,1.329,0.998,7.218,1.02,3.128,0.25,0.994,0.98
6206,6.175,18,29773.226,2307.152,8813.026,246.03,246.03,761.121,288,663.912,2.507,0.998,13.144,1.031,33.454,0.662,0.983,0.995
6207,5.14,15,21633.958,1924.333,8492.848,175.317,175.317,706.775,288,638.468,2.079,0.998,11.04,1.026,25.068,0.496,0.967,0.991
6208,4.161,12,14723.532,1547.469,7797.767,113.795,113.795,635.595,288,606.946,1.656,0.998,8.834,1.023,16.927,0.335,0.966,0.996
6209,8.206,24,50991.567,3087.365,9296.506,438.005,438.005,917.814,288,727.594,3.602,0.998,18.651,1.042,60.214,1.192,0.992,0.981
6210,5.14,15,21626.089,1924.305,8464.275,175.238,175.238,714.453,288,637.688,2.089,0.998,11.246,1.026,25.607,0.507,0.982,0.975
6211,2.088,6,6393.242,1388.577,6817.651,30.468,30.468,583.478,288,570.052,1.319,0.998,7.067,1.02,1.342,0.234,0.982,0.996
6212,7.148,21,38989.801,2678.074,9128.111,332.206,332.206,828.061,288,691.271,2.97,0.998,15.543,1.035,44.151,0.874,0.971,0.987
6213,6.175,18,29764.915,2306.968,8810.154,246.006,246.006,788.469,288,671.462,2.507,0.998,13.358,1.03,35.125,0.695,0.968,0.977
6214,8.206,24,50993.606,3087.49,9310.898,438.068,438.068,910.376,288,729.264,3.579,0.998,18.272,1.042,59.207,1.172,0.978,0.997
6215,9.3,27,72762.833,3560.389,9748.637,644.768,644.768,1078.139,288,777.887,4.528,0.998,22.863,1.05,89.751,1.777,0.979,0.98
6216,9.3,27,72771.516,3560.407,9756.205,644.876,644.876,1068.31,288,776.023,4.517,0.998,22.599,1.051,88.619,1.754,0.98,0.99
6217,7.148,21,38982.919,2678.082,9134.536,332.133,332.133,828.362,288,692.919,2.962,0.998,15.432,1.035,44.036,0.872,0.963,0.992
6218,4.161,12,14724.585,1547.474,7815.127,113.78,113.78,634.016,288,607.192,1.655,0.998,8.795,1.023,16.836,0.333,0.962,1
6219,6.175,18,29789.581,2307.524,8817.399,246.172,246.172,793.424,288,673.453,2.505,0.998,13.364,1.03,35.402,0.701,0.961,0.976
6220,1.138,3,5399.391,1321.291,6646.491,6.015,6.015,630.023,288,571.211,1.267,0.998,6.924,1.019,30.659,0.293,0.963,0.979
6221,5.14,15,21626.786,1924.314,8467.792,175.215,175.215,707.566,288,636.113,2.088,0.998,11.179,1.026,25.221,0.499,0.984,0.981
6222,8.206,24,50994.194,3087.511,9311.186,438.046,438.046,919.87,288,731.782,3.58,0.998,18.376,1.042,59.978,1.187,0.973,0.991
6223,6.175,18,29790.432,2307.48,8819.227,246.225,246.225,782.967,288,670.66,2.505,0.998,13.277,1.03,34.762,0.688,0.966,0.983
6224,6.175,18,29762.589,2306.803,8806.512,245.965,245.965,769.103,288,665.645,2.509,0.998,13.233,1.03,33.971,0.673,0.982,0.988
6225,2.088,6,3179.713,1350.479,6783.796,23.391,23.391,525.28,288,561.997,1.208,0.998,6.558,1.019,17.977,0.164,0.967,0.979
6226,2.088,6,2835.925,1362.394,6809.03,25.541,25.541,504.605,288,559.46,1.198,0.998,6.452,1.019,11.197,0.136,0.967,0.986
6227,7.148,21,38991.289,2678.08,9128.263,332.195,332.195,816.401,288,687.951,2.971,0.998,15.448,1.036,43.343,0.858,0.978,0.994
6228,7.148,21,38983.444,2678.086,9135.093,332.123,332.123,820.684,288,690.842,2.962,0.998,15.362,1.035,43.497,0.861,0.967,0.997
6229,7.148,21,38997.398,2678.07,9124.535,332.275,332.275,806.328,288,684.137,2.977,0.998,15.434,1.036,42.72,0.846,0.989,0.997
6230,5.14,15,21636.975,1924.324,8499.213,175.324,175.324,723.461,288,643.846,2.077,0.998,11.119,1.026,25.929,0.513,0.952,0.982
6231,7.148,21,38985.993,2678.079,9131.569,332.173,332.173,827.691,288,692.005,2.966,0.998,15.479,1.035,44.052,0.872,0.967,0.99
6232,2.088,6,6213.809,1390.411,6816.258,30.806,30.806,578.875,288,569.584,1.315,0.998,7.045,1.02,0.088,0.226,0.982,0.995
6233,5.14,15,21625.95,1924.338,8471.897,175.259,175.259,685.465,288,630.237,2.087,0.998,11.006,1.027,24.004,0.475,0.996,0.998
6234,4.161,12,14720.816,1547.46,7761.179,113.765,113.765,627.141,288,603.135,1.66,0.998,8.841,1.023,16.578,0.328,0.983,0.997
6235,9.3,27,72759.26,3560.376,9750.018,644.693,644.693,1088.17,288,780.423,4.527,0.998,22.968,1.05,90.682,1.795,0.974,0.975
6236,8.206,24,50992.652,3087.434,9299.857,438.06,438.06,893.955,288,722.191,3.594,0.998,18.313,1.043,58.159,1.151,1,0.999
6237,8.206,24,50994.362,3087.535,9320.896,437.959,437.959,922.632,288,735.005,3.565,0.998,18.206,1.041,59.927,1.186,0.96,0.997
6238,5.14,15,21636.234,1924.312,8493.801,175.293,175.293,730.948,288,645.387,2.079,0.998,11.198,1.026,26.349,0.522,0.951,0.975
6239,9.3,27,72773.589,3560.429,9788.5,645.021,645.021,1104.213,288,787.286,4.482,0.998,22.457,1.049,91.183,1.805,0.95,0.988
6240,2.088,6,2850.444,1359.433,6792.561,24.991,24.991,508.302,288,559.677,1.198,0.998,6.478,1.019,12.676,0.141,0.969,0.982
6241,2.088,6,6806.306,1382.153,6778.899,29.259,29.259,598.846,288,570.703,1.331,0.998,7.179,1.02,5.488,0.255,0.99,0.989
6242,3.144,9,8377.019,1386.745,7087.042,60.335,60.335,569.704,288,575.873,1.39,0.998,7.418,1.021,11.646,0.231,0.988,0.999
6243,9.3,27,72781.069,3560.651,9794.645,644.94,644.94,1094.419,288,785.603,4.471,0.998,22.198,1.049,90.078,1.783,0.951,0.998
6244,9.3,27,72777.73,3560.429,9780.476,644.86,644.86,1086.167,288,782.343,4.488,0.998,22.368,1.05,89.694,1.776,0.961,0.994
6245,5.14,15,21634.445,1924.34,8496.475,175.285,175.285,702.984,288,637.757,2.078,0.998,10.996,1.026,24.848,0.492,0.967,0.995
6246,2.088,6,3651.216,1385.834,6794.729,29.872,29.872,519.077,288,562.012,1.232,0.998,6.651,1.02,0,0.146,0.977,0.983
6247,2.088,6,4368.863,1392.126,6823.267,31.078,31.078,533.095,288,564.028,1.257,0.998,6.732,1.02,0,0.166,0.976,0.992
6248,1.138,3,1219.193,1364.719,6641.918,8.287,8.287,469.067,288,546.656,1.135,0.998,6.09,1.019,2.824,0.095,0.988,0.989
6249,4.161,12,14722.975,1547.465,7785.713,113.782,113.782,640.746,288,607.894,1.658,0.998,8.887,1.022,17.177,0.34,0.966,0.99
6250,7.148,21,38995.068,2678.077,9126.479,332.302,332.302,805.647,288,684.406,2.974,0.998,15.394,1.036,42.633,0.844,0.987,0.999
6251,1.138,3,2461.577,1309.019,6684.514,5.346,5.346,541.003,288,558.364,1.172,0.998,6.313,1.019,31.154,0.193,0.957,0.993
6252,4.161,12,14722.185,1547.463,7776.292,113.781,113.781,637.611,288,606.649,1.659,0.998,8.882,1.023,17.044,0.337,0.971,0.991
6253,6.175,18,29794.283,2307.313,8831.557,246.318,246.318,769.929,288,668.032,2.501,0.998,13.114,1.03,33.904,0.671,0.966,0.995
6254,4.161,12,14725.555,1547.473,7818.911,113.809,113.809,649.892,288,611.744,1.655,0.998,8.889,1.022,17.556,0.348,0.95,0.988
6255,4.161,12,14724.594,1547.47,7805.14,113.802,113.802,648.431,288,610.791,1.656,0.998,8.903,1.022,17.505,0.347,0.955,0.987
6256,9.3,27,72769.722,3560.408,9764.336,645.097,645.097,1084.864,288,780.677,4.509,0.998,22.661,1.05,90.001,1.782,0.969,0.985
6257,6.175,18,29762.428,2306.834,8791.148,245.95,245.95,758.476,288,661.235,2.515,0.998,13.24,1.031,33.407,0.661,0.999,0.99
6258,7.148,21,38976.187,2678.077,9141.507,332.011,332.011,831.146,288,695.42,2.953,0.998,15.332,1.035,44.081,0.873,0.953,0.996
6259,1.138,3,353.516,1341.718,6697.654,7.045,7.045,447.407,288,544.008,1.097,0.998,5.829,1.019,9.214,0.074,0.967,1
6260,3.144,9,8375.969,1386.739,7062.449,60.318,60.318,575.043,288,576.6,1.391,0.998,7.476,1.021,11.877,0.235,0.99,0.991
6261,3.144,9,8375.513,1386.737,7052.376,60.306,60.306,578.178,288,577.173,1.392,0.998,7.505,1.02,12.01,0.238,0.99,0.987
6262,4.161,12,14725.2,1547.471,7812.177,113.805,113.805,649.832,288,611.458,1.655,0.998,8.9,1.022,17.561,0.348,0.952,0.987
6263,1.138,3,7023.916,1347.263,6660.323,7.445,7.445,664.079,288,576.691,1.32,0.998,7.213,1.019,19.682,0.329,0.966,0.98
6264,8.206,24,50996.857,3087.606,9318.633,438.083,438.083,934.959,288,737.529,3.571,0.998,18.4,1.041,61.005,1.208,0.957,0.987
6265,7.148,21,38974.563,2678.075,9143.516,332.095,332.095,830.522,288,695.731,2.95,0.998,15.293,1.035,43.997,0.871,0.951,0.998
6266,6.175,18,29763.509,2306.903,8808.992,245.935,245.935,786.299,288,670.749,2.507,0.998,13.348,1.03,35,0.693,0.97,0.978
6267,3.144,9,8380.141,1386.763,7135.12,60.365,60.365,598.568,288,586.237,1.388,0.998,7.508,1.02,12.78,0.253,0.95,0.984
6268,7.148,21,38995.259,2678.064,9123.707,332.226,332.226,827.144,288,689.939,2.976,0.998,15.613,1.036,44.181,0.875,0.977,0.984
6269,9.3,27,72756.546,3560.358,9723.775,644.818,644.818,1056.501,288,770.915,4.555,0.998,23.029,1.052,88.262,1.747,1,0.979
6270,6.175,18,29762.263,2306.783,8805.455,245.947,245.947,768.596,288,665.407,2.509,0.998,13.235,1.03,33.945,0.672,0.983,0.988
6271,4.161,12,14723.847,1547.469,7798.658,113.786,113.786,639.53,288,608.074,1.656,0.998,8.857,1.022,17.107,0.339,0.963,0.993
6272,3.144,9,8376.651,1386.744,7075.668,60.331,60.331,577.645,288,577.855,1.391,0.998,7.473,1.02,11.975,0.237,0.984,0.991
6273,6.175,18,29761.078,2306.821,8796.399,245.938,245.938,785.025,288,669.269,2.512,0.998,13.406,1.03,34.994,0.693,0.979,0.975
6274,8.206,24,50997.474,3087.615,9317.441,438.047,438.047,940.762,288,738.666,3.574,0.998,18.503,1.041,61.525,1.218,0.956,0.982
6275,2.088,6,6066.049,1391.228,6826.119,30.958,30.958,573.792,288,569.041,1.31,0.998,6.999,1.02,0,0.22,0.98,0.997
6276,3.144,9,8378.135,1386.752,7098.524,60.342,60.342,589.96,288,582.356,1.39,0.998,7.508,1.02,12.458,0.247,0.967,0.985
6277,2.088,6,3974.845,1345.379,6863.416,22.528,22.528,542.885,288,565.725,1.231,0.998,6.584,1.019,21.796,0.191,0.952,0.998
6278,1.138,3,4418.78,1414.765,6730.81,11.39,11.39,570.994,288,567.638,1.257,0.998,6.766,1.019,0,0.206,0.963,0.989
6279,9.3,27,72765.456,3560.387,9740.469,644.882,644.882,1059.869,288,772.806,4.536,0.998,22.779,1.051,88.196,1.746,0.991,0.986
6280,5.14,15,21635.357,1924.317,8492.572,175.271,175.271,724.257,288,643.383,2.079,0.998,11.16,1.026,26.001,0.515,0.956,0.979
6281,7.148,21,38984.674,2678.088,9134.65,332.232,332.232,815.069,288,689.11,2.963,0.998,15.325,1.036,43.118,0.854,0.971,1
6282,6.175,18,29774.517,2307.248,8813.521,246.074,246.074,781.877,288,669.878,2.506,0.998,13.295,1.03,34.715,0.687,0.97,0.982
6283,9.3,27,72771.736,3560.404,9759.806,644.762,644.762,1073.575,288,777.587,4.513,0.998,22.6,1.05,89.033,1.762,0.976,0.989
6284,4.161,12,14719.744,1547.451,7732.171,113.751,113.751,642.672,288,606.259,1.663,0.998,8.991,1.023,17.327,0.343,0.981,0.98
6285,7.148,21,38979.142,2678.076,9136.964,332.123,332.123,838.549,288,696.434,2.958,0.998,15.469,1.035,44.682,0.885,0.954,0.988
6286,6.175,18,29796.783,2307.249,8841.275,246.274,246.274,773.05,288,669.776,2.497,0.998,13.085,1.03,34.04,0.674,0.958,0.996
6287,4.161,12,14719.106,1547.452,7732.146,113.751,113.751,631.294,288,603.125,1.663,0.998,8.917,1.023,16.803,0.333,0.989,0.989
6288,2.088,6,6184.656,1352.652,6766.941,23.826,23.826,583.619,288,565.881,1.304,0.998,6.998,1.02,20.257,0.249,0.995,0.996
6289,4.161,12,14723.969,1547.467,7795.836,113.794,113.794,646.573,288,609.907,1.657,0.998,8.907,1.022,17.431,0.345,0.959,0.987
6290,8.206,24,50996.054,3087.58,9313.934,437.977,437.977,933.977,288,736.075,3.578,0.998,18.484,1.041,61.057,1.209,0.963,0.984
6291,6.175,18,29790.55,2307.484,8820.647,246.268,246.268,795.015,288,674.19,2.504,0.998,13.358,1.03,35.479,0.702,0.958,0.976
6292,3.144,9,8379.536,1386.759,7119.839,60.356,60.356,602.213,288,586.763,1.389,0.998,7.545,1.02,12.932,0.256,0.951,0.979
6293,9.3,27,72777.949,3560.408,9760.12,644.955,644.955,1055.458,288,773.168,4.51,0.998,22.36,1.051,87.281,1.728,0.984,1
6294,1.138,3,649.257,1362.744,6718.379,8.239,8.239,451.589,288,546.379,1.111,0.998,5.897,1.019,0,0.072,0.964,1
6295,3.144,9,8379.734,1386.761,7128.648,60.357,60.357,594.624,288,584.832,1.388,0.998,7.496,1.02,12.627,0.25,0.955,0.986
6296,2.088,6,4554.772,1343.674,6776.436,22.222,22.222,572.683,288,568.98,1.252,0.998,6.837,1.019,24.131,0.222,0.964,0.975
